dep,com,mort_com,hosp_com,indemne_com,leger_com,acc_com
75,75101,1,3,108,143,256
75,75102,2,3,65,92,162
75,75103,0,7,91,101,200
75,75104,0,5,138,173,316
75,75105,0,9,123,136,269
75,75106,1,7,121,122,251
75,75107,2,13,173,225,413
75,75108,1,22,288,287,598
75,75109,0,8,123,142,273
75,75110,3,11,207,205,427
75,75111,0,14,221,230,465
75,75112,5,22,502,459,988
75,75113,3,22,324,376,726
75,75114,2,10,317,315,644
75,75115,2,21,362,408,794
75,75116,3,43,606,594,1247
75,75117,5,15,444,416,881
75,75118,2,23,337,299,661
75,75119,5,28,419,431,884
75,75120,1,28,319,295,645
77,77001,0,0,2,3,5
77,77002,0,1,0,0,1
77,77004,0,1,0,0,1
77,77006,0,1,1,0,2
77,77008,0,1,2,1,4
77,77014,0,0,6,6,12
77,77016,0,0,3,2,5
77,77018,0,0,7,6,13
77,77019,0,1,1,0,2
77,77022,0,1,0,0,1
77,77030,0,1,0,0,1
77,77032,0,1,0,1,2
77,77034,0,1,1,0,2
77,77037,0,1,1,1,3
77,77041,0,2,0,0,2
77,77042,0,0,0,2,2
77,77047,0,1,1,2,4
77,77048,0,0,1,3,4
77,77053,0,1,12,11,24
77,77055,0,0,1,1,2
77,77058,0,0,32,29,61
77,77059,0,0,2,3,5
77,77060,0,1,0,2,3
77,77061,0,1,0,1,2
77,77063,1,0,0,0,1
77,77065,0,0,1,2,3
77,77066,0,2,0,1,3
77,77067,0,6,3,3,12
77,77070,0,0,1,1,2
77,77071,0,0,4,1,5
77,77079,0,2,0,0,2
77,77080,0,0,1,1,2
77,77083,1,4,15,15,35
77,77084,0,1,1,0,2
77,77085,0,0,5,9,14
77,77088,1,0,1,0,2
77,77091,0,0,1,1,2
77,77094,0,3,2,1,6
77,77095,0,2,1,1,4
77,77099,1,0,1,1,3
77,77100,0,2,0,0,2
77,77107,0,0,3,3,6
77,77108,1,0,2,4,7
77,77109,0,2,3,0,5
77,77111,0,1,5,2,8
77,77113,1,0,1,1,3
77,77114,1,0,2,1,4
77,77115,0,2,0,1,3
77,77116,0,3,1,0,4
77,77121,1,1,38,40,80
77,77122,1,5,10,8,24
77,77123,1,0,1,0,2
77,77126,1,3,1,3,8
77,77128,0,1,8,3,12
77,77131,1,0,7,10,18
77,77132,0,0,1,1,2
77,77133,0,0,0,1,1
77,77141,1,2,2,1,6
77,77142,1,3,4,3,11
77,77144,0,0,0,1,1
77,77145,0,0,1,4,5
77,77146,1,0,28,13,42
77,77147,0,1,0,0,1
77,77148,0,0,0,1,1
77,77152,0,2,1,0,4
77,77153,0,5,1,4,10
77,77154,0,0,0,1,1
77,77155,0,0,0,2,2
77,77156,0,0,1,1,2
77,77164,0,0,1,1,2
77,77169,0,1,7,10,18
77,77171,0,0,5,5,10
77,77173,0,0,0,3,3
77,77175,0,0,2,11,13
77,77176,0,2,0,0,2
77,77177,0,3,6,2,11
77,77180,0,4,1,1,6
77,77181,0,1,12,7,20
77,77182,0,3,3,0,6
77,77183,0,1,2,1,4
77,77185,0,0,5,2,7
77,77186,3,5,68,67,143
77,77191,0,1,0,0,1
77,77192,1,2,0,0,3
77,77193,0,1,1,0,2
77,77194,0,1,0,1,2
77,77196,0,0,0,1,1
77,77199,0,1,0,1,2
77,77203,0,1,2,1,4
77,77206,0,1,2,0,3
77,77209,0,2,3,8,13
77,77210,0,1,1,4,6
77,77211,0,1,1,0,2
77,77215,0,2,5,2,9
77,77216,0,0,0,6,7
77,77217,0,1,5,1,7
77,77219,1,1,2,0,4
77,77221,0,0,1,1,2
77,77222,0,0,1,1,2
77,77224,0,1,1,0,2
77,77226,0,0,1,1,2
77,77229,0,3,3,1,7
77,77231,0,2,1,0,3
77,77234,0,0,1,2,3
77,77237,1,1,15,17,35
77,77238,0,1,1,0,2
77,77239,0,0,3,6,9
77,77243,0,1,26,27,54
77,77244,0,1,0,0,1
77,77248,0,2,0,1,3
77,77249,0,1,10,12,23
77,77251,0,4,25,24,53
77,77254,0,1,1,0,2
77,77255,0,1,0,0,1
77,77257,0,0,1,1,2
77,77258,0,1,10,8,19
77,77264,0,1,3,1,5
77,77268,1,0,3,2,6
77,77269,0,2,3,3,8
77,77272,0,1,0,0,1
77,77273,0,2,5,4,11
77,77274,0,1,3,1,5
77,77276,0,1,1,1,3
77,77277,0,1,1,1,3
77,77278,0,2,4,2,8
77,77279,0,2,1,1,4
77,77281,0,0,1,4,5
77,77283,0,1,2,1,4
77,77284,4,1,5,3,13
77,77285,0,1,5,3,9
77,77288,0,1,2,1,4
77,77291,0,0,4,12,16
77,77294,1,6,53,36,96
77,77295,0,1,2,1,4
77,77296,1,4,5,9,19
77,77305,0,3,4,5,12
77,77306,1,0,0,0,1
77,77307,0,2,25,25,52
77,77309,0,1,1,2,4
77,77312,0,0,2,3,5
77,77315,0,0,4,3,7
77,77316,1,1,1,0,3
77,77318,2,3,3,1,9
77,77320,1,0,4,2,7
77,77325,0,0,1,1,2
77,77326,0,0,1,1,2
77,77327,0,2,2,3,7
77,77329,1,1,0,3,5
77,77333,0,6,14,18,38
77,77336,0,1,0,0,1
77,77337,0,5,14,9,28
77,77339,0,1,1,1,3
77,77347,0,2,1,0,3
77,77349,0,1,0,0,1
77,77350,1,1,3,1,6
77,77352,0,1,0,1,2
77,77354,0,0,0,2,2
77,77355,0,0,2,2,4
77,77359,0,2,4,3,9
77,77360,0,6,1,2,9
77,77363,0,1,17,22,40
77,77364,0,1,0,0,1
77,77370,0,1,2,0,3
77,77371,0,1,1,6,8
77,77372,0,1,6,6,13
77,77373,4,12,33,32,81
77,77374,0,3,3,1,7
77,77377,0,1,2,1,4
77,77379,0,0,1,1,2
77,77381,0,5,0,3,9
77,77382,0,4,6,3,13
77,77384,2,2,5,16,25
77,77390,2,1,3,2,8
77,77392,0,1,1,0,2
77,77398,0,0,0,1,1
77,77400,0,0,1,1,2
77,77401,0,1,2,1,4
77,77405,1,0,0,0,1
77,77407,0,0,2,3,5
77,77413,0,1,2,1,4
77,77415,2,4,10,1,17
77,77416,0,1,1,0,2
77,77420,0,0,3,4,7
77,77430,0,0,1,2,3
77,77431,0,4,3,5,12
77,77435,0,1,0,0,1
77,77436,0,0,1,1,2
77,77437,0,1,2,1,4
77,77438,0,1,12,19,32
77,77442,0,1,4,3,8
77,77445,0,5,9,5,19
77,77447,1,2,0,0,3
77,77449,1,4,24,15,44
77,77450,2,1,4,2,9
77,77451,1,1,0,0,2
77,77453,0,3,2,0,5
77,77458,1,4,2,10,17
77,77459,1,0,0,0,1
77,77460,0,1,0,2,3
77,77464,0,1,6,4,12
77,77468,1,1,9,6,17
77,77470,0,1,1,0,2
77,77474,0,0,4,3,7
77,77476,0,2,1,2,5
77,77478,0,2,0,0,2
77,77479,1,0,1,0,2
77,77486,0,1,2,0,3
77,77487,0,3,2,1,6
77,77490,0,1,1,0,2
77,77494,0,1,0,1,2
77,77495,0,6,17,17,40
77,77500,0,1,2,1,4
77,77501,0,1,0,2,3
77,77505,1,0,3,2,6
77,77508,1,2,5,3,11
77,77509,0,1,0,0,1
77,77510,0,2,1,1,4
77,77514,1,0,6,11,18
77,77515,0,0,1,1,2
77,77517,0,0,2,3,5
77,77521,0,0,0,2,2
77,77522,0,0,0,2,2
77,77533,0,0,1,1,2
78,78003,2,2,4,1,9
78,78005,0,0,4,4,8
78,78007,0,1,11,14,26
78,78009,2,2,3,2,9
78,78010,0,1,1,3,5
78,78015,1,1,1,2,5
78,78020,1,1,2,0,4
78,78029,0,1,14,21,36
78,78030,0,2,2,0,4
78,78033,0,0,1,1,2
78,78043,0,3,24,25,52
78,78062,1,5,3,1,10
78,78068,0,0,1,5,6
78,78073,0,1,8,11,20
78,78087,0,1,0,1,2
78,78090,0,0,18,16,34
78,78104,0,0,1,1,2
78,78107,1,0,0,0,1
78,78108,1,0,1,0,2
78,78117,0,1,11,6,18
78,78118,0,2,3,5,10
78,78123,0,0,6,6,12
78,78124,0,0,1,3,4
78,78126,0,1,14,8,23
78,78128,1,0,1,2,4
78,78133,0,1,26,25,52
78,78138,0,0,4,5,9
78,78140,0,0,14,18,32
78,78143,0,2,2,0,4
78,78146,0,2,6,4,12
78,78147,0,0,1,1,2
78,78152,0,1,0,1,2
78,78158,0,2,17,20,39
78,78160,0,1,0,0,1
78,78164,0,1,0,0,1
78,78165,0,1,2,0,3
78,78168,2,0,1,0,3
78,78172,0,3,3,8,14
78,78190,0,0,2,3,5
78,78192,0,1,1,0,2
78,78193,0,1,1,1,3
78,78206,0,3,11,6,20
