CODGEO,SUPERF,P20_RP,MED20,TP6020,P20_EMPLT,ETOQ21
75056,105.4,1131609.63286791,28790,"15,0",1865785.46538467,12258.0
77001,12.6,476.0,29170,s,172.513677302822,6.0
77002,20.06,324.924557230716,24800,s,267.492744937779,6.0
77003,12.3,149.428417786494,27690,s,44.6930619725333,3.0
77004,8.08,125.774461276594,27420,s,39.9906071732676,2.0
77005,13.19,1272.53393088847,27940,s,528.869762211797,8.0
77006,15.08,383.452860164114,30530,s,247.424582659352,7.0
77007,2.57,140.574274579012,27730,s,24.2808531557898,1.0
77008,7.27,365.863457123458,20340,s,44.81301277189,2.0
77009,11.31,51.6,23030,s,36.7225526282225,1.0
77010,26.83,350.173790246063,26350,s,143.58720719009,3.0
77011,17.74,207.0,24970,s,82.2792453017925,2.0
77012,13.49,118.112952269906,25310,s,27.8799380024507,2.0
77013,14.25,144.0,27690,s,107.782479724355,4.0
77014,3.83,6720.14273578031,23840,"14,0",3903.29912119123,44.0
77015,4.12,41.0714285714286,s,s,7.14285714285714,1.0
77016,5.26,720.015236359222,21360,s,729.291555823028,4.0
77018,8.72,2786.67255371635,26200,"9,0",2371.81848974928,24.0
77019,13.22,133.151850833528,23940,s,41.9558089672976,2.0
77020,19.41,241.487164045359,25970,s,65.4646722395931,2.0
77021,4.32,64.8421052631579,25100,s,11.8178304492956,1.0
77022,5.27,602.0,33450,s,332.811328648494,8.0
77023,6.95,129.471991213946,25410,s,22.2559074918894,2.0
77024,17.46,152.408319722325,24580,s,39.1254748258624,2.0
77025,22.68,362.861413803379,22950,s,86.1937000277629,4.0
77026,27.96,139.057998424988,22910,s,51.7760131794545,3.0
77027,16.59,433.485722882147,22480,s,198.101860140129,3.0
77029,3.94,83.0,23870,s,10.0614068901471,1.0
77030,16.36,298.697562233584,22780,s,121.55326810996,4.0
77031,16.92,358.0,26590,s,78.9575809591011,2.0
77032,18.32,369.591237845721,22250,s,152.845439930081,4.0
77033,2.66,79.2765957446808,24870,s,27.7368026902531,2.0
77034,13.99,320.138431289774,28040,s,167.365822519522,2.0
77035,20.29,220.875968222932,24920,s,60.6542378939324,3.0
77036,4.3,50.3759398496241,24880,s,11.0412082242569,1.0
77037,6.91,2394.14643139083,32440,"5,0",1470.37587851796,18.0
77038,1.54,165.0,33240,s,73.7222195244679,2.0
77039,7.8,397.856855605046,30950,s,226.766747610018,5.0
77040,7.09,1370.77943166833,28910,s,693.803831871638,7.0
77041,16.4,123.777292954659,30170,s,37.2682277651529,1.0
77042,9.95,1268.0,24910,"6,0",324.603492331453,5.0
77043,5.14,135.0,24790,s,18.9625083331729,3.0
77044,15.0,347.447264243503,27070,s,122.336498212701,4.0
77045,16.31,278.70990170286,23860,s,98.7970619434563,3.0
77046,6.44,156.200492719531,25510,s,23.6059758537809,1.0
77047,8.25,647.0,26960,s,123.841531828453,2.0
77048,11.26,1183.0,28440,s,631.132828711201,10.0
77049,9.88,346.696976912724,28750,s,114.387212305836,4.0
77050,13.85,214.0,24480,s,48.0334520930774,2.0
77051,2.15,988.493572266408,20400,"17,0",1227.89069943431,19.0
77052,1.35,134.350152438519,26180,s,52.224241060494,1.0
77053,19.93,8322.18936843589,24260,"10,0",8607.60522144106,51.0
77054,12.0,290.159142079055,23860,s,89.4065237530307,4.0
77055,4.28,2019.75818527385,22400,"11,0",855.442224197616,26.0
77056,7.03,67.0872483221477,22280,s,10.8717271315242,1.0
77057,8.81,180.994836274132,22110,s,34.989395725959,2.0
77058,13.39,10893.1827096087,25670,"12,0",9539.21303250697,80.0
77059,2.64,268.965193746681,34200,s,901.509518018502,5.0
77060,19.67,329.785063687173,25700,s,130.855506202162,3.0
77061,8.63,988.19993674184,23700,s,762.545409427577,5.0
77062,1.61,193.980044380031,28770,s,64.2550516469325,1.0
77063,7.26,509.0,25960,s,91.4001850677158,2.0
77065,6.19,504.758272226844,30020,s,227.423292869896,5.0
77066,22.1,122.153515480661,22310,s,51.358398340843,1.0
77067,6.98,4241.65752092259,26440,"7,0",3046.84936639622,32.0
77068,5.26,102.983402769832,25880,s,25.3039959944772,2.0
77069,13.08,874.0,26790,s,468.482520157469,6.0
77070,17.36,565.0,23520,s,288.862893106361,4.0
77071,23.92,344.0,24410,s,105.327633353855,3.0
77072,18.33,260.145399313946,22240,s,59.6290849745858,3.0
77073,9.37,234.942243461484,25880,s,67.2003311741111,3.0
77075,2.42,547.143586497117,28320,s,116.259567362879,3.0
77076,10.04,289.0,22410,s,183.328083198308,5.0
77077,9.75,425.678461148149,25330,s,83.3839265172823,3.0
77078,14.22,497.137737643174,24280,s,211.387560706023,5.0
77079,7.28,2775.0063006712,20610,"16,0",1077.28309233163,17.0
77080,12.46,77.3928571428571,24080,s,35.7747966084426,2.0
77081,3.97,276.756391001809,26050,s,135.324284485431,2.0
77082,13.05,345.0,26600,s,144.620979394164,9.0
77083,7.35,10464.2382940937,23280,"15,0",9905.53672626468,80.0
77084,6.98,480.111763262109,25680,s,94.7428125085044,2.0
77085,3.18,1448.0,27020,"8,0",1565.62869892507,11.0
77086,17.36,556.780187575712,24520,s,122.164107772121,2.0
77087,8.73,67.6492146596859,28170,s,18.0021085239247,2.0
77088,15.91,949.419445787095,23560,s,808.753064403831,15.0
77089,15.44,348.692084707199,27070,s,51.0056009584502,2.0
77090,6.37,83.9506172839506,24170,s,16.7875912120435,1.0
77091,6.42,160.005778696293,28610,s,76.8764393448984,5.0
77093,18.9,175.060480882843,21010,s,47.0594724806759,1.0
77094,4.67,110.181073795993,26740,s,78.3132493114436,2.0
77095,12.54,561.478911178664,27600,s,393.619095236302,7.0
77096,10.1,1048.23081426844,30220,s,541.566360373636,8.0
77097,8.2,105.927277172442,23550,s,25.3282197018521,2.0
77098,3.4,140.75024577962,24510,s,17.778689743031,1.0
77099,29.35,1303.07660583601,21410,"13,0",974.453582568056,14.0
77100,22.71,1828.0,26390,"5,0",1343.51146177246,17.0
77101,13.03,408.981303037718,22770,s,96.1108275976401,2.0
77102,4.87,66.3515151515151,24760,s,9.88128022856658,1.0
77103,7.25,86.5740740740741,29250,s,16.7559296858206,2.0
77104,15.13,252.138602264288,29170,s,1081.65463310014,3.0
77106,5.16,399.0,25220,s,85.9172947075631,3.0
77107,20.07,1350.17641760079,25270,"7,0",551.322265182393,9.0
77108,15.9,22370.0384572511,23130,"15,0",13912.3906953767,170.0
77109,48.68,657.692312913009,22320,s,251.523090013647,4.0
77110,13.74,134.0,24010,s,50.7146408517523,3.0
77111,5.74,2665.59987172192,26960,"9,0",14521.5375796797,28.0
77112,8.95,110.515014929659,27350,s,36.4192078590094,1.0
77113,13.94,373.459567234072,22890,s,101.941226632376,2.0
77114,16.75,1489.29884617946,28270,s,971.561527736906,8.0
77115,22.81,223.0,23650,s,37.0130612049807,3.0
77116,25.03,528.170446013038,24030,s,227.319424448316,4.0
77117,5.04,344.295467830456,22350,s,64.8597889787369,2.0
77118,15.07,5093.79746119595,26810,"7,0",5255.03176773575,37.0
77119,5.97,100.145026342477,23820,s,23.4666303231997,2.0
77120,8.27,228.81395769705,23000,s,37.5602453215239,3.0
77121,4.27,1258.0,25710,"8,0",3224.14818216633,5.0
77122,14.48,8848.7387184907,24130,"12,0",5418.86406407948,58.0
77123,5.3,245.918548643158,24680,s,1406.30222796803,2.0
77124,1.52,652.55588737084,30870,s,226.529669546112,7.0
77125,2.15,568.401829024348,29220,s,92.3732294096317,5.0
77126,15.12,630.524866727756,25380,s,301.846802940918,6.0
77127,8.36,669.057090803989,26000,s,1306.8243415795,11.0
77128,4.75,774.456512953726,28320,s,523.841928269523,7.0
77129,22.41,223.787281416575,23500,s,63.0124390542161,1.0
77130,3.68,194.0,25890,s,51.8288590655375,3.0
77131,10.93,6966.55473100798,20290,"18,0",7809.71889339951,93.0
77132,8.09,1083.05504942174,29760,s,1732.8660640951,9.0
77133,10.79,84.6796116504854,25240,s,26.6604580917465,0.0
77134,12.41,58.1632653061224,24740,s,12.2287138192754,2.0
77135,14.56,520.048937507885,25290,s,141.903703653152,6.0
77136,7.82,76.78125,32840,s,17.8418167889212,2.0
77137,11.88,90.8936170212766,20700,s,44.9904143743194,1.0
77138,4.62,211.361240470941,26580,s,113.613479029197,3.0
77139,4.16,2372.95063721407,26460,"8,0",1064.78845942419,11.0
77140,6.23,110.0,25640,s,22.024797417016,2.0
77141,7.08,428.0,26510,s,213.254579171512,2.0
77142,15.78,2080.72271915309,26260,"6,0",1195.84189801821,14.0
77143,3.64,1872.62258115749,24450,"9,0",643.090755018244,9.0
77144,9.19,145.923442590127,27170,s,29.4892968102954,3.0
